Date,Open
2022-09-01,1.26
2022-09-02,1.406
2022-09-06,1.34
2022-09-07,1.45
2022-09-08,1.32
2022-09-09,1.4
2022-09-12,1.363
2022-09-13,1.354
2022-09-14,1.4
2022-09-15,1.38
2022-09-16,1.306
2022-09-19,1.44
2022-09-20,1.4
2022-09-21,1.339
2022-09-22,1.44
2022-09-23,1.199
2022-09-26,1.17
2022-09-27,1.09
2022-09-28,1.06
2022-09-29,1.06
2022-09-30,1.1
2022-10-03,1.12
2022-10-04,1.32
2022-10-05,1.416
2022-10-06,1.41
2022-10-07,1.25
2022-10-10,1.2
2022-10-11,1.26
2022-10-12,1.24
2022-10-13,1.21
2022-10-14,1.18
2022-10-17,1.17
2022-10-18,1.27
2022-10-19,1.23
2022-10-20,1.322
2022-10-21,1.16
2022-10-24,1.07
2022-10-25,1.113
2022-10-26,1.061
2022-10-27,1.04
2022-10-28,1.03
2022-10-31,1.05
2022-11-01,1.12
2022-11-02,1.1
2022-11-03,1.03
2022-11-04,1.07
2022-11-07,0.97
2022-11-08,1.001
2022-11-09,1.02
2022-11-10,1
2022-11-11,1.03
2022-11-14,1.03
2022-11-15,1.02
2022-11-16,1.06
2022-11-17,1.038
2022-11-18,1
2022-11-21,1
2022-11-22,1.06
2022-11-23,1.04
2022-11-25,1.065
2022-11-28,1.02
2022-11-29,1.4
2022-11-30,1.2
2022-12-01,1.3
2022-12-02,1.34
2022-12-05,1.28
2022-12-06,1.33
2022-12-07,1.31
2022-12-08,1.36
2022-12-09,1.25
2022-12-12,1.2
2022-12-13,1.27
2022-12-14,1.13
2022-12-15,1.3
2022-12-16,1.27
2022-12-19,1.4
2022-12-20,1.3
2022-12-21,1.33
2022-12-22,1.19
2022-12-23,1.299
2022-12-27,1.19
2022-12-28,1.27
2022-12-29,1.2
2022-12-30,1.18
2023-01-03,1.19
2023-01-04,1.181
2023-01-05,1.2
2023-01-06,1.27
2023-01-09,1.58
2023-01-10,1.84
2023-01-11,1.48
2023-01-12,1.86
2023-01-13,1.68
2023-01-17,1.58
2023-01-18,1.5
2023-01-19,1.52
2023-01-20,1.49
2023-01-23,1.37
2023-01-24,1.38
2023-01-25,1.4
2023-01-26,1.32
2023-01-27,1.35
2023-01-30,1.35
2023-01-31,1.85
2023-02-01,1.756
2023-02-02,1.6
2023-02-03,1.49
2023-02-06,1.52
2023-02-07,1.47
2023-02-08,1.465
2023-02-09,1.49
2023-02-10,1.41
2023-02-13,1.36
2023-02-14,1.36
2023-02-15,1.34
2023-02-16,1.26
2023-02-17,1.36
2023-02-21,1.4
2023-02-22,1.32
2023-02-23,1.28
2023-02-24,1.25
2023-02-27,1.28
2023-02-28,1.2
2023-03-01,1.2
2023-03-02,1.2
2023-03-03,1.25
2023-03-06,1.29
2023-03-07,1.29
2023-03-08,1.25
2023-03-09,1.3
2023-03-10,1.16
2023-03-13,1.14
2023-03-14,1.04
2023-03-15,1.03
2023-03-16,1.05
2023-03-17,1.29
2023-03-20,1.2
2023-03-21,1.23
2023-03-22,1.19
2023-03-23,1.27
2023-03-24,1.298
2023-03-27,1.23
2023-03-28,1.26
2023-03-29,1.25
2023-03-30,1.21
2023-03-31,1.25
2023-04-03,1.11
2023-04-04,1.21
2023-04-05,1.12
2023-04-06,1.2
2023-04-10,1.23
2023-04-11,1.23
2023-04-12,1.27
2023-04-13,1.25
2023-04-14,1.23
2023-04-17,1.26
2023-04-18,1.17
2023-04-19,1.23
2023-04-20,1.2
2023-04-21,1.167
2023-04-24,1.15
2023-04-25,1.06
2023-04-26,1
2023-04-27,0.78
2023-04-28,0.84
2023-05-01,0.86
2023-05-02,0.88
2023-05-03,0.831
2023-05-04,0.85
2023-05-05,0.8
2023-05-08,0.8
2023-05-09,0.81
2023-05-10,1.2
2023-05-11,1.03
2023-05-12,1.08
2023-05-15,0.907
2023-05-16,1.01
2023-05-17,0.97
2023-05-18,0.96
2023-05-19,0.957
2023-05-22,0.97
2023-05-23,0.986
2023-05-24,1.01
2023-05-25,1.12
2023-05-26,1.03
2023-05-30,0.95
2023-05-31,0.951
2023-06-01,0.99
2023-06-02,1.024
2023-06-05,1.01
2023-06-06,0.95
2023-06-07,0.965
2023-06-08,0.951
2023-06-09,0.95
2023-06-12,0.89
2023-06-13,0.91
2023-06-14,0.91
2023-06-15,0.848
2023-06-16,0.855
2023-06-20,0.86
2023-06-21,0.81
2023-06-22,0.88
2023-06-23,0.88
2023-06-26,0.818
2023-06-27,0.785
2023-06-28,0.78
2023-06-29,0.777
2023-06-30,0.802
2023-07-03,0.765
2023-07-05,0.79
2023-07-06,0.78
2023-07-07,0.85
2023-07-10,0.825
2023-07-11,0.9
2023-07-12,0.876
2023-07-13,0.91
2023-07-14,0.89
2023-07-17,0.94
2023-07-18,0.93
2023-07-19,0.93
2023-07-20,0.9
2023-07-21,0.853
2023-07-24,0.89
2023-07-25,0.853
2023-07-26,0.85
2023-07-27,0.849
2023-07-28,0.8
2023-07-31,0.824
2023-08-01,0.83
2023-08-02,0.815
2023-08-03,0.82
2023-08-04,0.87
2023-08-07,0.86
2023-08-08,0.83
2023-08-09,0.835
2023-08-10,0.821
2023-08-11,0.825
2023-08-14,0.857
2023-08-15,0.8
2023-08-16,0.845
2023-08-17,0.8
2023-08-18,0.782
2023-08-21,0.82
2023-08-22,0.78
2023-08-23,0.799
2023-08-24,0.87
2023-08-25,0.827
2023-08-28,0.823
2023-08-29,0.801
2023-08-30,0.88
2023-08-31,0.795